cusip,start_year,end_year,gaps,missing_years
00941Q203,2005,2023,False,
009496100,2019,2024,False,
00971M403,2019,2023,False,
00971T101,1998,2024,False,
009728106,1997,2019,False,
00972D105,2012,2024,False,
00972G207,2014,2024,False,
00973Y108,2017,2024,False,
00974H104,2019,2024,False,
011311107,1992,2024,False,
011532108,2006,2024,False,
011642105,2013,2024,False,
011659109,1985,2024,False,
012348108,1986,2024,False,
012653101,1992,2024,False,
013872106,2014,2024,False,
014383103,1985,2005,False,
01438T106,2012,2024,False,
014442107,2016,2024,False,
01446U103,2006,2024,False,
014491104,2011,2024,False,
014752109,1994,2024,False,
015271109,1995,2024,False,
015857105,2001,2024,False,
016255101,1998,2024,False,
01625V104,2019,2024,False,
01626L204,2018,2024,False,
01626W101,2020,2024,False,
01644J108,2018,2024,False,
01671P100,2016,2024,False,
016744500,2019,2024,False,
01675A208,2019,2024,False,
01741R102,1985,2024,False,
01747T102,1997,2003,False,
01748X102,2005,2024,False,
018522300,1985,2024,False,
018581108,1999,2024,False,
01877R108,1998,2024,False,
018802108,1985,2024,False,
01881G106,1987,2024,False,
01890A108,1995,2014,False,
019170109,2019,2023,False,
019223106,1992,2006,False,
019330109,2003,2024,False,
019411107,1985,1999,False,
019615103,1988,2008,False,
019645506,1985,2010,False,
01973R101,2010,2024,False,
019770106,2017,2024,False,
020002101,1992,2024,False,
02005N100,1985,2024,False,
02008G201,2020,2024,False,
02043Q107,2002,2024,False,
020764106,2016,2024,False,
02076X102,2002,2015,False,
020772109,1998,2024,False,
02079K305,2002,2024,False,
02080L102,2019,2024,False,
02081G201,2004,2024,False,
02083X103,2017,2024,False,
02115D208,2019,2024,False,
02128L106,2019,2024,False,
02133L109,2016,2019,False,
02146C104,1995,2002,False,
02155H200,2015,2024,False,
02156K103,1985,2024,False,
02156U200,2016,2024,False,
02156V109,2023,2024,False,
02157E106,2022,2024,False,
02157Q109,2021,2024,False,
02209S103,1985,2024,False,
02215L209,2017,2024,False,
02217A102,2020,2024,False,
022307102,2022,2024,False,
022671101,2016,2024,False,
023135106,1995,2024,False,
023139884,1990,2024,False,
02319V103,1995,2024,False,
02322P309,2008,2024,False,
023426703,1989,1994,False,
023436108,1993,2024,False,
023576101,2016,2024,False,
023608003,2001,2015,False,
023608102,1985,2024,False,
02361E108,2008,2024,False,
02364V206,1986,2024,False,
02369M102,2022,2024,False,
02376R102,1985,2024,False,
023850100,2005,2014,False,
02390A101,1999,2024,False,
023912108,1986,2009,False,
024013104,2008,2024,False,
024061103,1996,2024,False,
024490302,1985,2004,False,
024928103,1993,2000,False,
025198938,1995,2002,False,
025242207,1985,1986,False,
025537101,1985,2024,False,
025816109,1985,2024,False,
025932104,1985,2024,False,
026496208,1985,1993,False,
02660R107,1997,2006,False,
02665T306,2011,2024,False,
026874784,1985,2024,False,
027568104,1998,2007,False,
028816106,1991,1999,False,
029050937,1997,2002,False,
02913V103,2006,2024,False,
029174109,1987,2024,False,
02927U208,2016,2023,False,
029595105,1985,2024,False,
02970Q203,1999,2013,False,
029899101,1985,2024,False,
03027X100,1996,2024,False,
030371108,1985,2023,False,
030420103,2005,2024,False,
03044L204,2018,2024,False,
03058P109,1995,2009,False,
03062D100,2004,2024,False,
03064D108,2015,2024,False,
03071H100,2003,2024,False,
03074A102,1985,2024,False,
03076C106,2003,2024,False,
03076K108,1993,2024,False,
031001100,2001,2024,False,
031100100,1985,2024,False,
031162100,1991,2024,False,
03152W109,2004,2024,False,
031652100,1997,2024,False,
03168L105,2015,2024,False,
031909203,1992,2000,False,
032037103,1985,2024,False,
032095101,1987,2024,False,
03209R103,2012,2024,False,
03211Q200,2019,2024,False,
03212B103,2009,2024,False,
03213A104,2019,2024,False,
03214Q108,2021,2024,False,
032345100,1985,1999,False,
03237H101,2019,2024,False,
032724106,2014,2024,False,
03304B300,1985,2004,False,
034164103,1985,2024,False,
03464Y108,2019,2024,False,
03524A108,2007,2024,False,
035250109,1993,1999,False,
035255108,1997,2024,False,
035290105,1985,2019,False,
035710839,1997,2024,False,
03589W102,2018,2024,False,
03615A108,2017,2024,False,
03662Q105,1995,2024,False,
03674X106,2012,2024,False,
036752103,1999,2024,False,
03675P102,2022,2024,False,
03676B102,2015,2024,False,
037023108,1998,2008,False,
037326105,2020,2024,False,
03743Q108,1985,2024,False,
03748R747,1994,2024,False,
03753U106,2015,2024,False,
03761U502,2022,2024,False,
03762U105,2009,2024,False,
03763A207,2015,2024,False,
03769M106,2009,2024,False,
03770N101,2022,2024,False,
03782L101,2015,2024,False,
03783C100,2013,2024,False,
03784Y200,2013,2024,False,
03799X007,1985,1990,False,
038169207,2001,2001,False,
03823U102,2011,2024,False,
03828A101,2017,2024,False,
03831W108,2018,2024,False,
038336103,1992,2024,False,
03834A103,2005,2018,False,
03834B309,2020,2024,False,
03835L405,2014,2024,False,
03835T408,2014,2024,False,
03836J201,2017,2024,False,
03837C106,1985,2024,False,
03837J200,2014,2024,False,
03842K309,2014,2024,False,
03843E104,2016,2024,False,
03879J100,1995,2024,False,
038923108,2003,2024,False,
039014303,2013,2024,False,
03937C105,1985,2024,False,
03938L203,1996,2024,False,
03940C100,2020,2024,False,
03945R102,2020,2024,False,
039483102,2013,2024,False,
03957W106,1995,2024,False,
039653100,2015,2024,False,
039697107,2012,2024,False,
03969F109,2016,2024,False,
03969K108,2017,2024,False,
03969T109,2015,2024,False,
03980N107,2021,2024,False,
03990B101,2012,2024,False,
040044109,2016,2024,False,
04010L103,2004,2024,False,
040126104,2019,2023,False,
04013V108,2011,2024,False,
04014F102,2012,2024,False,
04016X101,2015,2024,False,
04035M102,2019,2024,False,
04040Y109,2010,2024,False,
040413205,2013,2024,False,
04041L106,2019,2024,False,
041242108,2018,2024,False,
04206A101,2016,2024,False,
04208T108,2011,2024,False,
04216R102,2018,2024,False,
042315705,2008,2024,False,
04238R106,2014,2021,False,
04247X102,2004,2024,False,
04271T100,2018,2024,False,
04272N102,2021,2024,False,
042735100,1985,2024,False,
042744102,1985,2024,False,
04299S936,2009,2010,False,
04301G508,2022,2024,False,
04302A104,2019,2024,False,
043113208,1995,2024,False,
04316A108,2011,2024,False,
04317A107,2022,2024,False,
04335A105,2016,2024,False,
043436104,2000,2024,False,
04351P101,2014,2024,False,
043635804,2005,2024,False,
04390B105,2022,2024,False,
044103794,2001,2024,False,
04523Y105,2012,2024,False,
04537Y208,1998,2024,False,
045396207,2008,2024,False,
04541A204,2020,2024,False,
04544X300,1993,2012,False,
04546C205,1996,2024,False,
045487105,1987,2024,False,
045528106,2013,2024,False,
045919107,1995,2000,False,
04621X108,2001,2024,False,
046224101,1985,2024,False,
04626A103,2022,2024,False,
046353108,1992,2024,False,
04635X102,2013,2024,False,
046433108,1985,2024,False,
04649A106,1999,2002,False,
046513206,2012,2024,False,
04683R106,2018,2024,False,
04746L104,2018,2024,False,
047620109,1985,1997,False,
047726302,2015,2024,False,
048209100,1992,2024,False,
048556104,1985,1999,False,
048592109,2019,2024,False,
04911A107,1993,2024,False,
04914Y102,1997,2024,False,
049164205,1994,2022,False,
04956D107,2020,2024,False,
04962H506,2010,2024,False,
04963C209,2003,2024,False,
04965B100,2014,2024,False,
04965M106,2020,2023,False,
050473107,1996,2024,False,
050734201,2012,2024,False,
05153U107,2019,2024,False,
05156D102,2022,2024,False,
05156V102,2000,2024,False,
05164B106,1996,2002,False,
051774107,2020,2024,False,
051857209,2016,2024,False,
05223F106,2021,2024,False,
05278C107,2011,2024,False,
052800109,1995,2024,False,
05280R100,2019,2024,False,
05329W102,1986,2024,False,
05336P108,1990,2002,False,
05338F306,2013,2024,False,
05343P109,1996,2024,False,
05344R302,2015,2024,False,
053484101,1993,2024,False,
05350V106,2012,2024,False,
05352A100,2015,2024,False,
05356F105,2018,2024,False,
053604104,2019,2024,False,
053611109,1990,2024,False,
05368V106,1992,2024,False,
05368X102,2019,2024,False,
05370A108,2018,2024,False,
053774105,1997,2024,False,
05379B107,1985,2024,False,
05380C102,2022,2024,False,
05453N100,1995,2024,False,
054540208,1998,2024,False,
05463X106,2010,2024,False,
05464C101,1999,2024,False,
05464T104,2013,2024,False,
054748207,2019,2024,False,
05479K106,2018,2024,False,
05479L203,2021,2024,False,
05501U106,2015,2023,False,
05501X100,2011,2015,False,
05508R106,2002,2024,False,
055298103,2003,2024,False,
05534B760,1985,2024,False,
055382931,1985,1993,False,
055474209,2011,2024,False,
055477103,2022,2024,False,
055607105,1985,2002,False,
05561Q201,1991,2024,False,
055622104,1985,2024,False,
055630107,1989,2024,False,
055639108,2004,2014,False,
055645303,2019,2024,False,
055655104,1985,1992,False,
0557MQ206,2019,2024,False,
05580M108,2007,2023,False,
05581M404,2019,2024,False,
05587G203,1990,2024,False,
05589G102,2017,2024,False,
05601C105,2013,2024,False,
05601U105,2020,2024,False,
05603E208,2023,2024,False,
05603J108,2021,2024,False,
05605H100,2008,2024,False,
05614L209,2013,2024,False,
05637B105,2019,2024,False,
056525108,1985,2024,False,
056752108,2003,2024,False,
05684B107,2015,2024,False,
05722G100,2015,2024,False,
05759B305,2020,2024,False,
057665200,1985,2024,False,
058498106,1985,2024,False,
058586108,1993,2024,False,
05873K108,1985,2006,False,
05875B304,2016,2024,False,
058934100,1999,2024,False,
05945F103,1993,2024,False,
059460303,2000,2024,False,
05946K101,1988,2024,False,
059520106,1999,2024,False,
05961W105,2004,2024,False,
05964H105,1986,2024,False,
05965X109,2000,2024,False,
05967A107,2007,2024,False,
05968L102,1994,2024,False,
05969A105,2003,2024,False,
05988J103,2015,2024,False,
05990K106,1999,2024,False,
060505104,1985,2024,False,
06211J100,2012,2024,False,
062540109,1985,2024,False,
063425102,1999,2024,False,
064058100,1985,2024,False,
06417N103,1995,2024,False,
06643P104,2003,2024,False,
06652K103,2009,2024,False,
06652N107,2016,2024,False,
06652V208,1999,2024,False,
06654A103,2012,2024,False,
066800806,2003,2016,False,
06682J308,2022,2024,False,
066849100,1993,2024,False,
06684L103,2013,2024,False,
06738E204,1985,2024,False,
067532200,2015,2024,False,
06759L103,2004,2024,False,
06759X107,1986,2024,False,
06760L100,2012,2024,False,
06761A103,1988,2024,False,
067901108,1985,2024,False,
068463108,1992,2024,False,
069744100,2006,2006,False,
06985P209,2003,2020,False,
070121207,1985,1989,False,
07134L107,2006,2024,False,
071625107,2001,2008,False,
071705107,2019,2024,False,
071734107,1993,2024,False,
071813109,1985,2024,False,
07272M107,2013,2024,False,
07279B104,2022,2024,False,
07317Q105,1994,2024,False,
073334104,2003,2009,False,
073463309,2019,2024,False,
073685109,2022,2024,False,
07373B109,2016,2024,False,
07373V105,2017,2024,False,
074002205,2004,2008,False,
074014200,1998,2024,False,
07725L102,2013,2024,False,
077266104,1985,1985,False,
077347300,1985,2024,False,
077454106,1992,2024,False,
07782B104,2020,2024,False,
080694102,2020,2024,False,
08160H101,1989,2024,False,
08170W932,1995,2000,False,
08265T208,2017,2024,False,
084423102,1987,2024,False,
084670702,1985,2024,False,
084680107,1999,2024,False,
08579X101,1985,2024,False,
08659B102,2022,2024,False,
087509105,1985,2002,False,
08771Y402,2019,2024,False,
08774B508,2023,2024,False,
087866109,1994,2007,False,
08862E109,2016,2024,False,
08862L103,2016,2017,False,
088667100,1989,1997,False,
088774948,1985,1993,False,
088786108,2017,2024,False,
088929104,1999,2024,False,
08915P101,2000,2024,False,
089698104,1992,1999,False,
08975B109,2021,2024,False,
08975P108,2018,2024,False,
08986R309,2015,2024,False,
090040106,2016,2024,False,
090337106,2022,2024,False,
090572207,1985,2024,False,
09058V103,1993,2024,False,
09060C507,1995,2024,False,
09060U606,2015,2024,False,
09061G101,1997,2024,False,
09062W204,1997,2024,False,
09062X103,1990,2024,False,
090655606,2009,2024,False,
090683103,2021,2024,False,
09071M304,2010,2024,False,
09073N300,2015,2024,False,
09073Q303,2013,2023,False,
09075A108,2016,2024,False,
09075F404,2016,2024,False,
09075P204,2016,2024,False,
09075V102,2017,2024,False,
09075X108,2018,2024,False,
09076J207,2019,2024,False,
09076W109,2020,2024,False,
09077A106,2019,2024,False,
09077B104,2018,2024,False,
09077D209,2019,2024,False,
09077V100,2022,2024,False,
09090D301,2018,2024,False,
09173B107,2019,2024,False,
09174P105,2022,2024,False,
09175M804,1995,2023,False,
09180C106,1995,2024,False,
091941104,2004,2024,False,
09203E105,2017,2024,False,
092113109,1985,2024,False,
09225M101,2013,2024,False,
09227Q100,2002,2024,False,
09229E303,2017,2024,False,
09239B109,2014,2024,False,
09247F209,2019,2024,False,
09249X109,2003,2019,False,
092508100,2006,2024,False,
09250B103,2006,2006,False,
09250U101,2014,2024,False,
09250W107,2014,2024,False,
09251A104,2014,2024,False,
092524107,2007,2024,False,
09256A109,2004,2024,False,
09256U105,2010,2024,False,
09257A108,2011,2024,False,
09257D102,2011,2024,False,
09257P105,2012,2024,False,
09257R101,2012,2024,False,
09257W100,1989,2024,False,
09258A107,2013,2024,False,
09259E108,2010,2024,False,
09260D107,2005,2024,False,
09260Q108,2021,2024,False,
09261X102,2018,2024,False,
09262G108,2023,2024,False,
09263B207,2020,2024,False,
092667104,2022,2024,False,
09290D101,1998,2024,False,
09352U108,2019,2024,False,
09354A100,2010,2024,False,
093712107,2016,2024,False,
094235108,2010,2024,False,
09549B104,2019,2024,False,
095633509,2019,2024,False,
09581B103,2019,2024,False,
095825105,2017,2024,False,
09609G209,2011,2024,False,
09624H208,2002,2024,False,
09627Y109,2013,2024,False,
09631H100,2020,2024,False,
09662W109,2013,2024,False,
097023105,1985,2024,False,
097235105,2017,2024,False,
09739D100,2010,2024,False,
097702104,2018,2024,False,
098070501,2019,2024,False,
09857L108,1997,2024,False,
098904204,1990,1998,False,
099541203,1987,2001,False,
099724106,1992,2024,False,
100557107,1994,2024,False,
100578103,1988,1997,False,
101044105,2015,2024,False,
101121101,1995,2024,False,
101137107,1991,2024,False,
10170A100,2022,2024,False,
10240L102,2022,2024,False,
103002101,2019,2024,False,
103197307,2015,2024,False,
103304101,1998,2024,False,
104813209,2022,2023,False,
10482B101,2011,2024,False,
104833306,2018,2024,False,
10501E300,2010,2024,False,
10501L106,2017,2024,False,
105230106,2021,2024,False,
105368203,1986,2024,False,
10537L104,2012,2024,False,
10552T107,1999,2024,False,
105532105,1998,2024,False,
105861306,2012,2024,False,
10586A108,2021,2024,False,
106776107,2005,2016,False,
10806B100,2018,2024,False,
10806X102,2017,2024,False,
108621103,2016,2024,False,
10920V404,2019,2024,False,
10922N103,2015,2024,False,
10948C107,2015,2016,False,
10948W103,2013,2024,False,
10949T109,2015,2024,False,
109504100,2019,2024,False,
10950A106,2020,2024,False,
109696104,1985,2024,False,
110122108,1985,2024,False,
11040G103,2022,2024,False,
110448107,1985,2024,False,
11120U105,2012,2024,False,
11135E203,2015,2024,False,
111444709,1994,2024,False,
11161T207,2006,2024,False,
112463104,2004,2024,False,
112502109,2000,2007,False,
11259V106,2020,2024,False,
11271J107,1985,2024,False,
11276H106,2016,2024,False,
112830104,2016,2024,False,
11285B108,2017,2024,False,
113004105,2019,2024,False,
11373M107,1995,2024,False,
114082209,2021,2024,False,
115236101,1985,2024,False,
116794108,1999,2024,False,
117043109,1985,2024,False,
11777Q209,2007,2024,False,
119003101,1993,2001,False,
119882934,1985,2001,False,
120076104,2002,2017,False,
120084108,1985,1997,False,
12008R107,2004,2024,False,
12021E109,2020,2024,False,
12047B105,2018,2024,False,
12135Y108,2015,2024,False,
12233L206,2019,2024,False,
123164105,1985,2002,False,
12326C105,2016,2024,False,
124155102,2019,2024,False,
12430A300,2020,2024,False,
124411109,2015,2024,False,
12466Q104,1999,2024,False,
12479G101,2012,2024,False,
124805102,1994,2024,False,
124830878,1992,2024,False,
12503M108,2009,2024,False,
12504G100,2004,2024,False,
12504L109,2002,2024,False,
12510Q100,2019,2024,False,
125141101,1992,2024,False,
12514G108,1992,2024,False,
125185108,1985,1991,False,
12520L109,1998,2024,False,
125269100,2003,2024,False,
12529R107,2018,2024,False,
12541W209,1995,2024,False,
12542A206,1990,1998,False,
125523100,1985,2024,False,
12562N104,1994,2024,False,
12572Q105,2000,2024,False,
125896100,1985,2024,False,
125919308,1991,2024,False,
12599M939,1987,2019,False,
126117100,1985,2024,False,
126128107,1998,2024,False,
12612L108,1985,2010,False,
12618T105,2011,2024,False,
12619F104,1986,2024,False,
12621E103,1985,2024,False,
126327105,2019,2024,False,
126349109,1995,2024,False,
12634H200,2014,2024,False,
126408103,1985,2024,False,
126419100,2000,2001,False,
126501105,1985,2024,False,
126600105,1985,2024,False,
126601103,1985,2024,False,
12662P108,2005,2024,False,
126633205,2009,2024,False,
126638105,2019,2024,False,
126650100,1985,2024,False,
12674W109,2017,2024,False,
12685J105,2013,2024,False,
127097103,1991,2024,False,
127203107,2015,2024,False,
127387108,1986,2024,False,
12738K109,2021,2024,False,
12740C103,1985,2024,False,
127636207,2022,2024,False,
12763L105,2019,2024,False,
12769G100,2014,2024,False,
12802T101,2004,2013,False,
128058302,1998,2024,False,
12811L107,2007,2024,False,
12811T100,2014,2015,False,
129915203,1989,2009,False,
13057Q305,2012,2024,False,
130788102,1985,2024,False,
13100M509,2007,2024,False,
131100109,2022,2024,False,
131193104,1991,2024,False,
131428104,2003,2024,False,
133034108,1998,2024,False,
133131102,1993,2024,False,
13321L108,1988,2024,False,
13462K109,2014,2024,False,
13463J101,2022,2024,False,
13471N300,2011,2024,False,
134748102,2017,2024,False,
136375102,1985,2024,False,
136385101,1985,2024,False,
13646K108,1985,2024,False,
136635109,2004,2024,False,
137404109,2019,2024,False,
137586103,2016,2024,False,
13765N107,2015,2024,False,
13811E101,1994,2024,False,
139380109,2001,2007,False,
139674105,1993,2024,False,
139737100,2016,2024,False,
140065202,1996,2007,False,
14040H105,1993,2024,False,
140475203,1995,2024,False,
14056D105,1989,2012,False,
14068E208,1991,2024,False,
14070B309,2013,2024,False,
140909102,1991,2008,False,
14147L108,2010,2024,False,
14159C103,2021,2024,False,
14161W105,2015,2024,False,
14161Y200,2017,2024,False,
141649301,1985,1993,False,
14167L103,2012,2024,False,
14167R100,2012,2024,False,
141706309,1990,1999,False,
14174T107,2012,2024,False,
141788109,2015,2024,False,
14179K101,2021,2024,False,
142038108,2019,2024,False,
14216R101,2011,2024,False,
142339100,1985,2024,False,
142922103,2022,2024,False,
14316J108,2010,2024,False,
143436400,1986,2015,False,
143763100,1985,1994,False,
143905107,1995,2024,False,
14427M107,2004,2024,False,
14448C104,2018,2024,False,
14575E105,2014,2024,False,
146103106,2009,2024,False,
146229109,2001,2024,False,
146280508,2020,2024,False,
146869102,2015,2024,False,
147448104,2014,2024,False,
14808P109,1995,2024,False,
14817C107,1998,2024,False,
14838T204,2020,2024,False,
14843C105,2017,2024,False,
14888L101,2019,2024,False,
14888U101,2004,2024,False,
148929102,2021,2024,False,
149123101,1985,2024,False,
149150104,1989,2024,False,
14986C102,2017,2024,False,
150870103,2003,2024,False,
150964104,2021,2024,False,
15101Q207,1997,2024,False,
15102K100,2015,2024,False,
15115M101,1991,1998,False,
15117B202,2005,2024,False,
15117F807,2010,2024,False,
15117K103,2013,2024,False,
15117N602,2004,2024,False,
15118V207,2007,2024,False,
151190204,2020,2023,False,
15126Q208,2009,2024,False,
151290889,1992,2024,False,
15135B101,1999,2024,False,
15135U109,2008,2024,False,
15189T107,1985,2024,False,
152006102,2002,2024,False,
15202L107,2018,2024,False,
152309100,2019,2024,False,
15234Q207,2006,2024,False,
153435102,1996,2012,False,
153527205,1992,1994,False,
154760409,1985,2024,False,
155038201,2015,2023,False,
155123102,1985,2024,False,
155923105,2021,2024,False,
156431108,1995,2024,False,
15643U104,2003,2024,False,
15644G104,2015,2018,False,
156492100,1992,2024,False,
156504300,2012,2024,False,
15670S402,1994,2016,False,
15672X201,2019,2024,False,
15673T100,2019,2024,False,
15677J108,2016,2024,False,
15678C102,2022,2024,False,
15687V109,2018,2024,False,
156944100,2021,2024,False,
157085101,1996,2024,False,
15713L109,2016,2024,False,
157210105,1998,2024,False,
15746L100,2022,2024,False,
158496109,1992,2008,False,
15872M104,2015,2024,False,
15942R208,2006,2019,False,
159765205,1995,2017,False,
159864107,1997,2024,False,
16115Q308,1991,2024,False,
16119P108,1998,2024,False,
16208T102,2008,2024,False,
162828206,2015,2024,False,
163072101,1991,2024,False,
163075203,2012,2023,False,
16307X202,2021,2024,False,
163086101,2009,2024,False,
163092109,2011,2024,False,
16359R103,1985,2024,False,
163851108,2012,2024,False,
16385C104,2020,2024,False,
163893209,1985,2016,False,
164024101,2007,2024,False,
16411Q101,2005,2024,False,
16411R208,1998,2024,False,
164651101,2012,2024,False,
165159104,1985,2008,False,
165167735,1998,2024,False,
165303108,1985,2024,False,
166764100,1985,2024,False,
167239102,2021,2024,False,
168088102,1985,2024,False,
168910206,2007,2012,False,
168913309,2008,2024,False,
16934Q802,2007,2024,False,
16934W106,2011,2024,False,
16936R105,2003,2024,False,
16943A103,2007,2009,False,
16943W204,1994,2006,False,
16954L204,2014,2024,False,
169656105,2003,2024,False,
16965P202,2014,2024,False,
169905106,1997,2024,False,
170032809,1985,2013,False,
170386106,2008,2024,False,
17038P104,1998,2003,False,
171077407,2010,2024,False,
171126105,2021,2024,False,
17133Q502,2001,2024,False,
171340102,1985,2024,False,
171484108,1993,2024,False,
17166A101,2015,2024,False,
171757206,2013,2024,False,
171796105,1993,2003,False,
172062101,1985,2024,False,
17243V102,2005,2024,False,
17248W303,2020,2024,False,
17253J106,2021,2024,False,
17259U204,2019,2024,False,
17285T304,2001,2010,False,
172922106,1999,2024,False,
172936106,1987,1995,False,
172967424,1985,2024,False,
174610105,2012,2024,False,
174615104,2001,2024,False,
174740100,1985,2024,False,
174903104,2019,2024,False,
177835105,1987,2024,False,
178587101,2012,2024,False,
17878Y207,2012,2024,False,
178867107,1999,2024,False,
17888H103,2009,2024,False,
180461105,1996,2000,False,
181475955,1992,1998,False,
18270D106,2019,2024,False,
18270P109,2010,2024,False,
182728204,1994,2001,False,
184496107,1991,2024,False,
184499101,2005,2024,False,
18452H206,2007,2024,False,
18453H106,2003,2024,False,
18467V109,2019,2024,False,
18469P209,2011,2012,False,
185063104,2014,2024,False,
185064102,2010,2024,False,
18506U104,2010,2024,False,
18507C103,2011,2024,False,
185123106,2019,2024,False,
18538R103,2006,2024,False,
18539C204,2010,2024,False,
185634201,2019,2024,False,
185899101,1985,2024,False,
18885T306,2014,2024,False,
18911Q102,2008,2018,False,
18912E207,2022,2024,False,
18914F103,2020,2024,False,
18915M107,2016,2024,False,
189464100,2009,2021,False,
189763105,2015,2024,False,
18978H409,2017,2024,False,
18979T105,2016,2023,False,
19046P209,2016,2024,False,
19075F304,2007,2017,False,
191098102,1985,2024,False,
191216100,1985,2024,False,
191241108,1992,2024,False,
19188J409,2014,2024,False,
192005106,2008,2024,False,
19200A204,2018,2024,False,
19207A207,2021,2024,False,
192108504,1985,2024,False,
19238M105,1997,1998,False,
19239V302,2000,2024,False,
19240Q201,2019,2024,False,
192422103,1989,2024,False,
19243B102,2019,2024,False,
192446102,1996,2024,False,
19247A100,2002,2024,False,
19247L106,2002,2024,False,
19247R103,1993,2024,False,
19247X100,2003,2024,False,
192481208,1989,2001,False,
19248A109,2004,2024,False,
19248P106,2006,2024,False,
19248Y107,2010,2024,False,
19249H103,2012,2024,False,
19249M102,2006,2024,False,
192576106,1985,2024,False,
19260Q107,2019,2024,False,
194014502,2006,2024,False,
194162103,1985,2024,False,
19425C100,2020,2024,False,
19459J104,2013,2024,False,
194693107,2008,2024,False,
194830204,1996,2003,False,
195493309,1985,2008,False,
19623P101,1998,2024,False,
196267009,1987,1994,False,
19699Y937,1985,1991,False,
197236102,1998,2024,False,
197641103,2018,2024,False,
197648009,1985,2004,False,
19842X109,2009,2024,False,
198516106,1996,2024,False,
199908104,1997,2024,False,
20030N101,1985,2024,False,
200340107,1985,2024,False,
200525103,1985,2024,False,
202608105,2002,2024,False,
20337X109,2011,2024,False,
20343T100,2002,2007,False,
