cusip,first_year,last_year,null_count,total_values,percent_nulls
832154405,1994,2024,36,372,9.67741935483871
86732Y109,1994,2014,25,252,9.920634920634921
G9460G101,1985,2024,55,480,11.458333333333332
22112H101,1995,2024,34,360,9.444444444444445
388689101,1991,2024,60,408,14.705882352941178
708430103,1999,2024,183,312,58.65384615384615
203937107,2001,2024,172,288,59.72222222222222
75605Y106,2004,2024,32,252,12.698412698412698
925391104,1992,2004,50,156,32.05128205128205
52110M109,2003,2024,67,264,25.37878787878788
530307305,2012,2024,15,156,9.615384615384617
739276103,1995,2024,34,360,9.444444444444445
94188P101,2006,2024,136,228,59.64912280701754
431284108,1993,2024,99,384,25.78125
826598609,2012,2022,11,132,8.333333333333332
088774948,1985,1993,17,108,15.74074074074074
459200101,1985,2024,54,480,11.25
892231101,1998,2024,52,324,16.049382716049383
48020Q107,1995,2024,60,360,16.666666666666664
98400M200,2012,2023,12,144,8.333333333333332
09627Y109,2013,2024,15,144,10.416666666666668
989817101,2002,2002,12,12,100.0
032345100,1985,1999,61,180,33.88888888888889
26942G100,2015,2024,70,120,58.333333333333336
292034303,2010,2024,15,180,8.333333333333332
90337L108,1991,2024,42,408,10.294117647058822
60786M105,2012,2024,36,156,23.076923076923077
88583P104,1995,2024,33,360,9.166666666666666
686688102,2002,2024,46,276,16.666666666666664
14167R100,2012,2024,13,156,8.333333333333332
896288107,2012,2024,13,156,8.333333333333332
85569E103,1992,2000,44,108,40.74074074074074
902681105,1985,1992,16,96,16.666666666666664
67011P100,2012,2024,15,156,9.615384615384617
898349204,1985,2024,324,480,67.5
373865104,1993,2024,228,384,59.375
40416E103,2006,2024,41,228,17.982456140350877
698891108,1996,2000,7,60,11.666666666666666
248356107,2006,2024,25,228,10.964912280701753
398905109,1996,2024,32,348,9.195402298850574
69318J100,1996,2024,32,348,9.195402298850574
014383103,1985,2005,59,252,23.41269841269841
045919107,1995,2000,19,72,26.38888888888889
436934103,1989,1996,47,96,48.95833333333333
G36738105,1993,2024,37,384,9.635416666666668
03823U102,2011,2024,14,168,8.333333333333332
31847R102,2008,2024,39,204,19.11764705882353
071625107,2001,2008,51,96,53.125
565788106,2012,2024,13,156,8.333333333333332
00847G804,1998,2024,27,324,8.333333333333332
294628102,1986,2024,126,468,26.923076923076923
89832Q109,1985,2024,304,480,63.33333333333333
318916103,2004,2024,149,252,59.12698412698413
G8807B106,2012,2024,15,156,9.615384615384617
600551204,2001,2024,24,288,8.333333333333332
63900P608,2000,2024,31,300,10.333333333333334
346375108,2000,2024,25,300,8.333333333333332
866796105,1998,2024,101,324,31.17283950617284
25382T200,2005,2023,19,228,8.333333333333332
18538R103,2006,2024,29,228,12.719298245614036
608190104,1991,2024,42,408,10.294117647058822
896925203,1991,2000,29,120,24.166666666666668
69351T106,1985,2024,86,480,17.916666666666668
645827205,2009,2024,16,192,8.333333333333332
32111B104,2003,2009,48,84,57.14285714285714
38268T103,2012,2024,15,156,9.615384615384617
90341W108,1985,2012,39,336,11.607142857142858
025932104,1985,2024,187,480,38.958333333333336
346232101,2005,2017,29,156,18.58974358974359
09062X103,1990,2024,45,420,10.714285714285714
174740100,1985,2024,189,480,39.375
89421B109,2000,2022,23,276,8.333333333333332
304231301,1986,2000,55,180,30.555555555555557
70509V100,2009,2024,36,192,18.75
34964C106,2009,2024,16,192,8.333333333333332
777385105,2014,2019,41,72,56.94444444444444
488445206,2013,2024,12,144,8.333333333333332
960878106,1985,2017,46,396,11.616161616161616
693506107,1985,2024,57,480,11.875
87283P109,1992,1994,36,36,100.0
899900104,1989,1998,19,120,15.833333333333332
146229109,2001,2024,24,288,8.333333333333332
23284F105,2013,2024,12,144,8.333333333333332
80007P869,2006,2024,33,228,14.473684210526317
910571108,1991,2024,42,408,10.294117647058822
00770K202,2012,2024,13,156,8.333333333333332
320218100,1985,2024,323,480,67.29166666666667
828359109,2011,2024,37,168,22.023809523809522
501921100,1985,2000,31,192,16.145833333333336
H1467J104,1999,2024,75,312,24.03846153846154
30779N105,2010,2024,107,180,59.44444444444444
007973100,1994,2024,36,372,9.67741935483871
00847X104,2011,2024,14,168,8.333333333333332
05379B107,1985,2024,83,480,17.291666666666668
826917106,1996,2024,32,348,9.195402298850574
Y00408107,2005,2024,20,240,8.333333333333332
415858109,2010,2024,15,180,8.333333333333332
58039P305,1985,2024,57,480,11.875
45170X205,1995,2024,35,360,9.722222222222223
04962H506,2010,2024,15,180,8.333333333333332
G30401106,1999,2023,25,300,8.333333333333332
217213933,1985,1991,53,84,63.095238095238095
83417M104,2017,2024,8,96,8.333333333333332
384637104,1985,2024,56,480,11.666666666666666
170386106,2008,2024,119,204,58.333333333333336
371901109,1985,2024,74,480,15.416666666666668
17888H103,2009,2024,18,192,9.375
65540B105,2011,2024,14,168,8.333333333333332
74762E102,1996,2024,33,348,9.482758620689655
91544A109,2013,2024,12,144,8.333333333333332
538032400,1987,1996,24,120,20.0
231082801,1997,2024,33,336,9.821428571428571
711040105,2012,2024,92,156,58.97435897435898
25746U109,1985,2024,84,480,17.5
117043109,1985,2024,54,480,11.25
74915M100,2003,2024,25,264,9.469696969696969
74834L100,1995,2024,35,360,9.722222222222223
98401F105,2012,2024,13,156,8.333333333333332
83169A100,1994,1997,17,48,35.41666666666667
277802500,2014,2024,11,132,8.333333333333332
64157F103,2012,2024,13,156,8.333333333333332
758849103,1993,2024,91,384,23.697916666666664
131428104,2003,2024,25,264,9.469696969696969
594960304,1995,2024,33,360,9.166666666666666
75734R105,2002,2011,12,120,10.0
598511103,2006,2024,134,228,58.77192982456141
29460X109,2013,2024,89,144,61.80555555555556
136375102,1985,2024,59,480,12.291666666666666
87485H103,2001,2009,63,108,58.333333333333336
M20115180,1994,2024,34,372,9.13978494623656
760911107,1985,2024,54,480,11.25
25401T603,2009,2024,39,192,20.3125
78709Y105,2000,2024,27,300,9.0
438516106,1985,2024,64,480,13.333333333333334
58933Y105,1985,2024,56,480,11.666666666666666
989701107,1985,2024,306,480,63.74999999999999
Y81669106,2005,2024,20,240,8.333333333333332
004816104,1985,2024,57,480,11.875
98873Q100,2000,2024,25,300,8.333333333333332
518415104,1999,2024,26,312,8.333333333333332
09062W204,1997,2024,30,336,8.928571428571429
609839105,2002,2024,23,276,8.333333333333332
14888U101,2004,2024,36,252,14.285714285714285
955306105,1985,2024,54,480,11.25
64122D506,1994,2000,50,84,59.523809523809526
74365A309,1998,2024,27,324,8.333333333333332
44934S206,1985,2024,57,480,11.875
700666100,1985,2024,66,480,13.750000000000002
21833P301,2013,2024,12,144,8.333333333333332
89422G107,2012,2024,13,156,8.333333333333332
04208T108,2011,2024,31,168,18.452380952380953
283677854,1985,2019,69,420,16.428571428571427
83607A100,2010,2024,111,180,61.66666666666667
636317109,1985,1994,20,120,16.666666666666664
582266706,1995,2004,13,120,10.833333333333334
06211J100,2012,2024,92,156,58.97435897435898
45812C106,1991,1999,16,108,14.814814814814813
35138V102,2011,2024,14,168,8.333333333333332
895919108,2010,2011,1,24,4.166666666666666
014491104,2011,2024,21,168,12.5
494368103,1985,2024,62,480,12.916666666666668
761525609,1995,2022,31,336,9.226190476190476
06654A103,2012,2024,91,156,58.333333333333336
74345W108,1997,2024,30,336,8.928571428571429
G87264100,2013,2024,15,144,10.416666666666668
21867A105,1994,2024,36,372,9.67741935483871
637870106,2012,2024,37,156,23.717948717948715
140475203,1995,2024,34,360,9.444444444444445
909870107,1985,1998,72,168,42.857142857142854
444356109,1985,2003,35,228,15.350877192982457
221413305,2013,2024,12,144,8.333333333333332
72147K108,2010,2024,15,180,8.333333333333332
90137F400,2012,2024,13,156,8.333333333333332
392709101,2013,2024,26,144,18.055555555555554
665859104,1985,2024,297,480,61.875
66765N105,1985,2024,83,480,17.291666666666668
755408101,1994,2024,41,372,11.021505376344086
68827L101,2005,2024,20,240,8.333333333333332
Y46002153,2012,2023,12,144,8.333333333333332
556099109,2011,2024,14,168,8.333333333333332
95805V108,2006,2024,19,228,8.333333333333332
574795100,2005,2024,20,240,8.333333333333332
