cusip,first_year,last_year,null_count,total_values,percent_nulls
598039105,1993,2018,182,312,58.333333333333336
749660106,1989,2024,46,432,10.648148148148149
260003108,1985,2024,57,480,11.875
43785V102,2009,2024,113,192,58.854166666666664
368706206,1990,2007,34,216,15.74074074074074
443628102,2000,2024,25,300,8.333333333333332
453838609,1985,2024,329,480,68.54166666666667
50105F105,2003,2024,22,264,8.333333333333332
07272M107,2013,2024,92,144,63.888888888888886
16934Q802,2007,2024,48,216,22.22222222222222
50043K406,2008,2024,17,204,8.333333333333332
74993W939,2010,2011,12,24,50.0
58734P105,2002,2011,72,120,60.0
921659108,2004,2024,21,252,8.333333333333332
063425102,1999,2024,188,312,60.256410256410255
670198100,1993,2002,13,120,10.833333333333334
02155H200,2015,2024,32,120,26.666666666666668
14427M107,2004,2024,21,252,8.333333333333332
51504L107,2002,2024,165,276,59.78260869565217
N6596X109,2008,2024,17,204,8.333333333333332
05464T104,2013,2024,12,144,8.333333333333332
86881A100,2013,2024,12,144,8.333333333333332
947890109,1986,2024,308,468,65.8119658119658
89214A102,2003,2019,16,204,7.8431372549019605
891697104,1988,1998,60,132,45.45454545454545
141649301,1985,1993,16,108,14.814814814814813
B5628B104,1990,1999,57,120,47.5
541424933,1995,2000,49,72,68.05555555555556
G0585R106,2002,2024,63,276,22.82608695652174
240028308,1994,2008,29,180,16.11111111111111
45824Q705,2011,2024,14,168,8.333333333333332
750491102,2007,2024,18,216,8.333333333333332
288578107,2012,2024,29,156,18.58974358974359
675232102,2000,2024,25,300,8.333333333333332
91731P109,1985,2004,76,240,31.666666666666664
004498101,2008,2024,17,204,8.333333333333332
48123V102,1997,2024,29,336,8.630952380952381
891539108,1997,2001,26,60,43.333333333333336
073685109,2022,2024,3,36,8.333333333333332
G3730V105,2013,2024,28,144,19.444444444444446
521865204,1993,2024,37,384,9.635416666666668
674599105,1985,2024,54,480,11.25
905400107,1999,2024,186,312,59.61538461538461
913903100,1985,2024,55,480,11.458333333333332
125896100,1985,2024,80,480,16.666666666666664
00081T108,2003,2024,22,264,8.333333333333332
099724106,1992,2024,42,396,10.606060606060606
451107106,1985,2024,80,480,16.666666666666664
Y46717107,2012,2024,16,156,10.256410256410255
55261F104,1985,2024,293,480,61.04166666666667
71377E105,2011,2024,14,168,8.333333333333332
896215209,1987,2024,93,456,20.394736842105264
94106P209,1994,1999,10,72,13.88888888888889
219350105,1985,2024,60,480,12.5
46284V101,1994,2024,36,372,9.67741935483871
98421M106,1985,2024,62,480,12.916666666666668
05587G203,1990,2024,44,420,10.476190476190476
816074405,1985,2005,59,252,23.41269841269841
580037703,1999,2019,20,252,7.936507936507936
116794108,1999,2024,27,312,8.653846153846153
Y2685T131,2004,2024,24,252,9.523809523809524
74587V107,2010,2024,18,180,10.0
M2361E179,2012,2023,12,144,8.333333333333332
458124104,1985,1992,28,96,29.166666666666668
G3922B107,2005,2024,20,240,8.333333333333332
811543107,1986,2024,55,468,11.752136752136751
637417106,1985,2024,130,480,27.083333333333332
035250109,1993,1999,22,84,26.190476190476193
36113L101,1993,1998,30,72,41.66666666666667
784178303,2011,2014,6,48,12.5
690732102,1985,2024,56,480,11.666666666666666
78442P106,2014,2024,23,132,17.424242424242426
92999Z938,1996,2003,29,96,30.208333333333332
233331107,1985,2024,80,480,16.666666666666664
29362U104,2006,2024,19,228,8.333333333333332
33817P405,2007,2024,18,216,8.333333333333332
11161T207,2006,2024,19,228,8.333333333333332
015857105,2001,2024,30,288,10.416666666666668
294375209,2005,2024,20,240,8.333333333333332
682189105,1999,2024,29,312,9.294871794871796
233162502,1998,2011,13,168,7.738095238095238
05343P109,1996,2024,34,348,9.770114942528735
828251108,2005,2007,20,36,55.55555555555556
298736109,1996,2024,31,348,8.908045977011495
24823Q107,1998,2013,15,192,7.8125
688239201,2022,2024,3,36,8.333333333333332
529043101,1993,2024,105,384,27.34375
422347104,1985,2024,56,480,11.666666666666666
49803T300,2002,2024,62,276,22.463768115942027
064058100,1985,2024,302,480,62.916666666666664
700658107,1987,2024,296,456,64.91228070175438
80874P109,2001,2024,24,288,8.333333333333332
962149100,1985,2024,57,480,11.875
14986C102,2017,2024,8,96,8.333333333333332
98138H101,2010,2010,1,12,8.333333333333332
533900106,1985,2024,54,480,11.25
86272A305,2004,2024,21,252,8.333333333333332
86722A103,2009,2024,18,192,9.375
261018105,1985,2007,184,276,66.66666666666666
32022K102,2005,2024,141,240,58.75
37891B109,2008,2021,45,168,26.785714285714285
804395101,1993,2024,95,384,24.739583333333336
92276F100,1998,2024,78,324,24.074074074074073
92707Y108,2003,2024,25,264,9.469696969696969
45245E109,1993,2024,68,384,17.708333333333336
45825X204,2012,2024,13,156,8.333333333333332
501889208,2001,2024,24,288,8.333333333333332
292218104,2004,2024,54,252,21.428571428571427
456607100,1986,2007,93,264,35.22727272727273
559079207,2003,2020,17,216,7.87037037037037
89346D107,1985,2024,57,480,11.875
57633B100,2006,2024,21,228,9.210526315789473
89336R207,1994,2017,28,288,9.722222222222223
679580100,1990,2024,44,420,10.476190476190476
84265V105,1996,2024,32,348,9.195402298850574
86725N102,2014,2020,6,84,7.142857142857142
H5012F103,2016,2024,10,108,9.25925925925926
778669101,2002,2011,9,120,7.5
281067306,1985,1996,26,144,18.055555555555554
635812209,1985,2006,34,264,12.878787878787879
907818108,1985,2024,54,480,11.25
26614N102,1985,2024,54,480,11.25
811054402,1987,2024,54,456,11.842105263157894
Y1968P121,2004,2024,21,252,8.333333333333332
03674X106,2012,2024,14,156,8.974358974358974
066849100,1993,2024,229,384,59.635416666666664
126600105,1985,2024,304,480,63.33333333333333
026496208,1985,1993,17,108,15.74074074074074
460690100,1985,2024,57,480,11.875
71880W501,2012,2024,13,156,8.333333333333332
090655606,2009,2024,23,192,11.979166666666668
390607109,2000,2024,25,300,8.333333333333332
197236102,1998,2024,196,324,60.49382716049383
92242T101,2012,2024,15,156,9.615384615384617
G7496G103,1994,2024,81,372,21.774193548387096
881694103,1985,2000,39,192,20.3125
893878108,1997,1999,7,36,19.444444444444446
20731J102,2013,2024,28,144,19.444444444444446
16934W106,2011,2024,14,168,8.333333333333332
22161G103,1991,1998,55,96,57.291666666666664
917313108,1998,2024,30,324,9.25925925925926
45950T101,1990,2000,18,132,13.636363636363635
Y67305154,2010,2024,15,180,8.333333333333332
45782B302,1998,2024,33,324,10.185185185185185
053774105,1997,2024,63,336,18.75
26951R104,2009,2024,117,192,60.9375
826919102,1998,2024,28,324,8.641975308641975
20452C104,1993,1997,19,60,31.666666666666664
045487105,1987,2024,281,456,61.622807017543856
28852N109,2008,2024,35,204,17.15686274509804
706327103,1999,2024,29,312,9.294871794871796
29358P101,2006,2024,19,228,8.333333333333332
502160104,1985,2024,61,480,12.708333333333332
69320M109,2014,2024,80,132,60.60606060606061
961684206,1987,2024,51,456,11.18421052631579
34984V209,2010,2024,15,180,8.333333333333332
92340V107,2001,2024,27,288,9.375
22305A103,2014,2019,49,72,68.05555555555556
760929109,1988,1990,17,36,47.22222222222222
882147101,1985,1988,31,48,64.58333333333334
M0854Q105,2004,2024,21,252,8.333333333333332
046433108,1985,2024,54,480,11.25
G25508105,1986,2024,70,468,14.957264957264957
669549107,1997,2024,198,336,58.92857142857143
949702104,1986,2007,35,264,13.257575757575758
63633D104,1991,2024,116,408,28.431372549019606
436893200,2004,2024,148,252,58.730158730158735
383082104,1985,2024,68,480,14.166666666666666
91688R108,2004,2024,21,252,8.333333333333332
336453105,1993,2009,126,204,61.76470588235294
48399Y004,1985,1986,3,24,12.5
48282T104,1990,2024,54,420,12.857142857142856
17038P104,1998,2003,8,72,11.11111111111111
285233102,1985,2024,54,480,11.25
879369106,1985,2024,57,480,11.875
377322102,2013,2024,12,144,8.333333333333332
369604301,1985,2024,91,480,18.958333333333332
046224101,1985,2024,54,480,11.25
44930G107,1991,2024,42,408,10.294117647058822
23204G100,2010,2024,111,180,61.66666666666667
67019U101,1985,2002,35,216,16.203703703703702
260547005,1985,1998,23,168,13.690476190476192
50060P106,2003,2024,22,264,8.333333333333332
74340W103,1993,2024,99,384,25.78125
97382A309,2004,2019,21,192,10.9375
674215207,2008,2024,19,204,9.313725490196079
70338T102,2012,2016,4,60,6.666666666666667
375422102,1985,1990,51,72,70.83333333333334
666610100,1997,1999,5,36,13.88888888888889
G3921A175,1997,2010,26,168,15.476190476190476
12619F104,1986,2024,53,468,11.324786324786325
20786W107,1998,2024,189,324,58.333333333333336
126349109,1995,2024,36,360,10.0
56146T103,2012,2013,2,24,8.333333333333332
007903107,1987,2024,51,456,11.18421052631579
42806J700,1985,2024,97,480,20.208333333333332
174615104,2001,2024,170,288,59.02777777777778
08579X101,1985,2024,102,480,21.25
200525103,1985,2024,301,480,62.708333333333336
03058P109,1995,2009,110,180,61.111111111111114
76009N100,1993,2024,83,384,21.614583333333336
03212B103,2009,2024,18,192,9.375
81727U105,2014,2024,11,132,8.333333333333332
64121N109,1996,2024,31,348,8.908045977011495
88830M102,1992,2024,40,396,10.1010101010101
181475955,1992,1998,52,84,61.904761904761905
957090103,1985,2024,312,480,65.0
12562N104,1994,2024,36,372,9.67741935483871
989207105,1990,2024,44,420,10.476190476190476
25213A107,1996,2014,23,228,10.087719298245613
313549404,1985,2016,52,384,13.541666666666666
42222N103,1998,2024,27,324,8.333333333333332
32055Y201,2008,2024,121,204,59.31372549019608
98983L108,2020,2024,5,60,8.333333333333332
576485205,2009,2024,16,192,8.333333333333332
687380105,2001,2024,172,288,59.72222222222222
003881307,1995,2024,37,360,10.277777777777777
70450Y103,2013,2024,14,144,9.722222222222223
98954M200,2009,2024,16,192,8.333333333333332
133034108,1998,2024,194,324,59.876543209876544
481138105,1996,2007,15,144,10.416666666666668
85254J102,2009,2024,35,192,18.229166666666664
770706109,1985,1988,9,48,18.75
459044103,1993,2024,233,384,60.677083333333336
488152208,1985,2024,54,480,11.25
443573100,2013,2024,12,144,8.333333333333332
302543103,1993,1997,9,60,15.0
928031103,2011,2024,101,168,60.11904761904761
296056104,1985,2024,54,480,11.25
448579102,2008,2024,17,204,8.333333333333332
11120U105,2012,2024,33,156,21.153846153846153
69291A100,2023,2024,2,24,8.333333333333332
461147100,1995,2024,34,360,9.444444444444445
918905209,1987,2024,50,456,10.964912280701753
384109104,1985,2024,55,480,11.458333333333332
864159108,1985,2024,55,480,11.458333333333332
963320106,1985,2024,60,480,12.5
05463X106,2010,2024,15,180,8.333333333333332
032724106,2014,2024,11,132,8.333333333333332
50186A108,1985,2024,54,480,11.25
31620M106,2003,2024,24,264,9.090909090909092
00191U102,1991,2024,42,408,10.294117647058822
389375106,1994,2024,36,372,9.67741935483871
571748102,1985,2024,90,480,18.75
834203309,2012,2024,13,156,8.333333333333332
98379L100,2011,2024,14,168,8.333333333333332
68235P108,2011,2024,31,168,18.452380952380953
30214U102,1993,2024,38,384,9.895833333333332
37245X203,1995,2008,17,168,10.119047619047619
43738R109,2000,2006,39,84,46.42857142857143
830879102,2001,2024,24,288,8.333333333333332
00770C101,2001,2024,35,288,12.152777777777777
381013101,1996,2024,34,348,9.770114942528735
05945F103,1993,2024,232,384,60.416666666666664
05873K108,1985,2006,65,264,24.62121212121212
98420P308,2010,2024,15,180,8.333333333333332
25278X109,2010,2024,17,180,9.444444444444445
78442T108,1998,2001,4,48,8.333333333333332
M3760D101,1995,2024,34,360,9.444444444444445
950755108,1994,2024,36,372,9.67741935483871
29911Q208,1999,2024,183,312,58.65384615384615
G1757E113,1992,2024,39,396,9.848484848484848
343412102,2001,2024,25,288,8.680555555555555
421906108,1985,2024,57,480,11.875
88554D205,1987,2024,52,456,11.403508771929824
72703U201,2007,2024,18,216,8.333333333333332
92823T207,1998,2024,38,324,11.728395061728394
29357K103,2012,2024,31,156,19.871794871794872
485808109,1995,2002,41,96,42.70833333333333
539319301,2012,2024,13,156,8.333333333333332
02209S103,1985,2024,69,480,14.374999999999998
87807B107,1985,2024,65,480,13.541666666666666
883203101,1985,2024,104,480,21.666666666666668
012653101,1992,2024,42,396,10.606060606060606
17285T304,2001,2010,9,120,7.5
876287103,1997,2007,53,132,40.15151515151515
566330106,2015,2024,10,120,8.333333333333332
Y73760400,2006,2024,22,228,9.649122807017543
903914208,2000,2019,19,240,7.916666666666666
00130H105,1990,2024,44,420,10.476190476190476
05534B760,1985,2024,66,480,13.750000000000002
15135B101,1999,2024,41,312,13.141025641025642
87969B101,1991,2024,41,408,10.049019607843137
683344105,1998,2024,27,324,8.333333333333332
060505104,1985,2024,293,480,61.04166666666667
350060109,1985,2024,54,480,11.25
443787205,2001,2024,26,288,9.027777777777777
501044101,1985,1998,28,168,16.666666666666664
650111107,1985,2024,58,480,12.083333333333334
028816106,1991,1999,56,108,51.85185185185185
45675Y104,2006,2024,22,228,9.649122807017543
457985208,1994,2024,37,372,9.946236559139784
05605H100,2008,2024,19,204,9.313725490196079
665531307,2007,2024,18,216,8.333333333333332
81725T100,2000,2024,25,300,8.333333333333332
91388P105,2002,2024,23,276,8.333333333333332
08986R309,2015,2024,10,120,8.333333333333332
52603A208,2013,2024,36,144,25.0
64881E109,2010,2014,6,60,10.0
683373401,2000,2024,25,300,8.333333333333332
Y71726130,2013,2024,12,144,8.333333333333332
26253C201,2013,2024,12,144,8.333333333333332
577904501,1985,2005,43,252,17.063492063492063
73278L105,1994,2024,36,372,9.67741935483871
184499101,2005,2024,20,240,8.333333333333332
17878Y207,2012,2024,15,156,9.615384615384617
844741108,1985,2024,56,480,11.666666666666666
89400J107,2013,2024,12,144,8.333333333333332
M84116108,1992,2024,40,396,10.1010101010101
09175M804,1995,2023,32,348,9.195402298850574
205306103,2000,2024,25,300,8.333333333333332
358453306,2006,2013,40,96,41.66666666666667
73933G202,2011,2024,14,168,8.333333333333332
609023106,1986,1990,51,60,85.0
800677106,1998,2024,27,324,8.333333333333332
74937W102,2008,2014,46,84,54.761904761904766
302520101,1985,2024,326,480,67.91666666666667
38068T105,2007,2024,18,216,8.333333333333332
457642205,1992,2024,43,396,10.85858585858586
14070B309,2013,2024,12,144,8.333333333333332
452525306,1986,2024,52,468,11.11111111111111
681919106,1985,2024,55,480,11.458333333333332
00289Y206,1986,2024,53,468,11.324786324786325
75513E101,1985,2024,60,480,12.5
36120Q101,2013,2024,89,144,61.80555555555556
573083102,1998,2014,20,204,9.803921568627452
741623102,1998,2024,27,324,8.333333333333332
G8060N102,2008,2024,17,204,8.333333333333332
781846209,1995,2024,34,360,9.444444444444445
857477103,1985,2024,308,480,64.16666666666667
03027X100,1996,2024,32,348,9.195402298850574
14817C107,1998,2024,30,324,9.25925925925926
45768S105,1996,2024,34,348,9.770114942528735
750495921,1998,2005,18,96,18.75
842587107,1985,2024,80,480,16.666666666666664
185064102,2010,2024,15,180,8.333333333333332
525558201,2004,2024,21,252,8.333333333333332
55955D100,2012,2024,13,156,8.333333333333332
443201108,2015,2024,10,120,8.333333333333332
55354G100,2011,2024,14,168,8.333333333333332
006739106,2007,2024,18,216,8.333333333333332
74167B109,2005,2023,136,228,59.64912280701754
831754106,2000,2000,1,12,8.333333333333332
45778Q107,1995,2024,34,360,9.444444444444445
626755102,2011,2024,16,168,9.523809523809524
Y2066G104,2002,2024,23,276,8.333333333333332
35671D857,1988,2024,48,444,10.81081081081081
573075108,1985,2024,55,480,11.458333333333332
01741R102,1985,2024,64,480,13.333333333333334
191098102,1985,2024,54,480,11.25
226603504,1989,2004,57,192,29.6875
898178108,1985,2002,54,216,25.0
023139884,1990,2024,113,420,26.904761904761905
125141101,1992,2024,39,396,9.848484848484848
20030N101,1985,2024,57,480,11.875
749412102,1987,1996,22,120,18.333333333333332
000899104,2012,2024,13,156,8.333333333333332
896522109,2001,2024,48,288,16.666666666666664
30040P103,2011,2024,14,168,8.333333333333332
G65773106,1996,2024,31,348,8.908045977011495
444144109,1993,2024,37,384,9.635416666666668
02361E108,2008,2024,17,204,8.333333333333332
82711P201,2011,2024,22,168,13.095238095238097
527016109,1985,2000,24,192,12.5
11777Q209,2007,2024,18,216,8.333333333333332
345206205,1990,1999,57,120,47.5
81768T108,2012,2024,94,156,60.256410256410255
44951W106,1996,1996,2,12,16.666666666666664
276317104,1985,2024,57,480,11.875
452327109,1998,2024,30,324,9.25925925925926
406216101,1985,2024,54,480,11.25
922417100,1990,2024,48,420,11.428571428571429
068463108,1992,2024,40,396,10.1010101010101
30701A106,1992,1999,24,96,25.0
596278101,1985,2024,53,480,11.041666666666666
482738101,1995,2024,34,360,9.444444444444445
G9456A100,2000,2024,35,300,11.666666666666666
46268K006,1992,1998,52,84,61.904761904761905
457651107,1995,2024,35,360,9.722222222222223
824889109,1992,1994,6,36,16.666666666666664
19239V302,2000,2024,25,300,8.333333333333332
231021106,1985,2024,57,480,11.875
471172106,2013,2019,9,84,10.714285714285714
123164105,1985,2002,31,216,14.351851851851851
433323102,1988,2024,284,444,63.96396396396396
18452H206,2007,2024,18,216,8.333333333333332
82981J851,1991,2024,104,408,25.49019607843137
G3265R107,1996,2024,55,348,15.804597701149426
353514102,1985,2024,57,480,11.875
860372101,1985,2024,135,480,28.125
682143102,2007,2024,18,216,8.333333333333332
002120202,2013,2024,12,144,8.333333333333332
G33856108,2014,2024,12,132,9.090909090909092
02913V103,2006,2024,19,228,8.333333333333332
377407101,1999,2024,186,312,59.61538461538461
03152W109,2004,2024,22,252,8.73015873015873
372282103,1985,1998,27,168,16.071428571428573
15202L107,2018,2024,17,84,20.238095238095237
497498105,2000,2000,1,12,8.333333333333332
264147109,1985,2024,54,480,11.25
30049G302,2011,2024,14,168,8.333333333333332
666807102,1985,2024,57,480,11.875
867224107,1985,2024,59,480,12.291666666666666
G29687103,1995,2024,33,360,9.166666666666666
45781M101,2002,2024,23,276,8.333333333333332
68401U204,2013,2024,12,144,8.333333333333332
172967424,1985,2024,188,480,39.166666666666664
91913Y100,1985,2024,58,480,12.083333333333334
224408104,1985,2024,57,480,11.875
45167R104,1988,2024,50,444,11.26126126126126
452521107,1998,2023,26,312,8.333333333333332
182728204,1994,2001,56,96,58.333333333333336
553498106,1985,2024,54,480,11.25
393222104,2008,2024,17,204,8.333333333333332
009728106,1997,2019,24,276,8.695652173913043
50101L106,2017,2024,30,96,31.25
26817Q886,1988,2024,122,444,27.47747747747748
53803X105,2013,2024,88,144,61.111111111111114
12634H200,2014,2024,11,132,8.333333333333332
75281A109,1985,2024,54,480,11.25
252784301,2004,2024,45,252,17.857142857142858
458140100,1985,2024,57,480,11.875
277432100,1992,2024,41,396,10.353535353535353
783859101,1985,2024,324,480,67.5
733174700,1985,2024,297,480,61.875
896095106,1992,2024,244,396,61.61616161616161
169905106,1997,2024,34,336,10.119047619047619
731745204,1995,2009,18,180,10.0
75999X102,1993,1996,29,48,60.416666666666664
G5005R107,2003,2024,104,264,39.39393939393939
58461Q409,1991,1999,17,108,15.74074074074074
M20598104,2010,2024,19,180,10.555555555555555
74267C106,1991,2024,110,408,26.96078431372549
H2906T109,1999,2024,26,312,8.333333333333332
13646K108,1985,2024,71,480,14.791666666666666
313855108,1985,2024,58,480,12.083333333333334
257701201,1986,2024,168,468,35.8974358974359
04247X102,2004,2024,21,252,8.333333333333332
018522300,1985,2024,80,480,16.666666666666664
740444104,1995,2024,34,360,9.444444444444445
879908101,1986,1990,9,60,15.0
11271J107,1985,2024,170,480,35.41666666666667
67000B104,1995,2024,33,360,9.166666666666666
690370101,2000,2024,27,300,9.0
695156109,1998,2024,28,324,8.641975308641975
928254101,2013,2024,33,144,22.916666666666664
038336103,1992,2024,40,396,10.1010101010101
84841L407,2012,2024,16,156,10.256410256410255
358430106,1995,2002,9,96,9.375
30233G209,2019,2024,6,72,8.333333333333332
G38327105,2011,2024,14,168,8.333333333333332
609207105,1999,2024,26,312,8.333333333333332
172922106,1999,2024,182,312,58.333333333333336
66510M204,2000,2024,25,300,8.333333333333332
V7780T103,1992,2024,39,396,9.848484848484848
243537107,1992,2013,29,264,10.984848484848484
046513206,2012,2024,16,156,10.256410256410255
05561Q201,1991,2024,248,408,60.78431372549019
775109200,1990,2024,55,420,13.095238095238097
047620109,1985,1997,30,156,19.230769230769234
106776107,2005,2016,12,144,8.333333333333332
94845V103,1997,2000,14,48,29.166666666666668
256677105,1985,1987,9,36,25.0
06652V208,1999,2024,182,312,58.333333333333336
071734107,1993,2024,38,384,9.895833333333332
910047109,1985,2024,54,480,11.25
911549103,1985,2024,100,480,20.833333333333336
184496107,1991,2024,42,408,10.294117647058822
31609R100,2010,2024,111,180,61.66666666666667
82312B106,1985,2024,56,480,11.666666666666666
68554V108,2000,2024,25,300,8.333333333333332
78410G104,1997,2024,28,336,8.333333333333332
882508104,1985,2024,57,480,11.875
12740C103,1985,2024,323,480,67.29166666666667
74346Y103,2005,2024,20,240,8.333333333333332
562750109,1996,2024,32,348,9.195402298850574
65406E102,2013,2024,84,144,58.333333333333336
56804T304,2011,2023,13,156,8.333333333333332
125185108,1985,1991,15,84,17.857142857142858
98262P101,2000,2024,28,300,9.333333333333334
42722X106,1999,2024,192,312,61.53846153846154
88224Q107,2000,2024,179,300,59.66666666666667
03304B300,1985,2004,44,240,18.333333333333332
109696104,1985,2024,55,480,11.458333333333332
374297109,2000,2024,76,300,25.333333333333336
80013R206,2010,2024,19,180,10.555555555555555
15117B202,2005,2024,20,240,8.333333333333332
M6158M104,2003,2024,22,264,8.333333333333332
292554102,1997,2024,83,336,24.702380952380953
98138J404,2013,2024,12,144,8.333333333333332
461804106,1985,2024,95,480,19.791666666666664
85208M102,2011,2024,14,168,8.333333333333332
64049M209,1999,2024,31,312,9.935897435897436
00972D105,2012,2024,13,156,8.333333333333332
42099W939,2006,2011,41,72,56.94444444444444
101121101,1995,2024,96,360,26.666666666666668
458665304,1985,2024,57,480,11.875
143905107,1995,2024,34,360,9.444444444444445
29261A100,1985,2024,55,480,11.458333333333332
320557101,2010,2024,105,180,58.333333333333336
84612H106,2011,2024,14,168,8.333333333333332
808541106,1995,2024,34,360,9.444444444444445
25659P402,2005,2012,7,96,7.291666666666667
882681109,2002,2024,23,276,8.333333333333332
045528106,2013,2024,26,144,18.055555555555554
01890A108,1995,2014,141,240,58.75
446413106,2009,2024,18,192,9.375
04635X102,2013,2024,12,144,8.333333333333332
346563109,1995,2024,34,360,9.444444444444445
825698103,1985,2024,54,480,11.25
74164M108,1985,2024,284,480,59.166666666666664
570535104,1985,2024,117,480,24.375
29382R107,1998,2024,27,324,8.333333333333332
313745101,1985,2024,140,480,29.166666666666668
87901J105,1985,2024,54,480,11.25
29482P100,2007,2015,41,108,37.96296296296296
229663109,2003,2024,56,264,21.21212121212121
Y7388L103,2006,2024,21,228,9.210526315789473
235050101,2006,2024,24,228,10.526315789473683
779088103,1993,2002,15,120,12.5
89376N108,2000,2007,40,96,41.66666666666667
53224K302,2007,2024,18,216,8.333333333333332
96445P105,2002,2011,35,120,29.166666666666668
482434206,1995,2005,14,132,10.606060606060606
75700L108,2014,2024,13,132,9.848484848484848
988498101,1995,2024,36,360,10.0
919794107,1987,2024,281,456,61.622807017543856
927926303,1985,2024,57,480,11.875
37892E102,1994,2024,36,372,9.67741935483871
023135106,1995,2024,34,360,9.444444444444445
294429105,1985,2024,57,480,11.875
637372202,1995,2024,34,360,9.444444444444445
693718108,1985,2024,91,480,18.958333333333332
B38564108,2012,2024,13,156,8.333333333333332
44926L300,1985,2000,78,192,40.625
390905107,1998,2024,195,324,60.18518518518518
45255G101,1994,2002,12,108,11.11111111111111
375916103,2015,2024,19,120,15.833333333333332
45818G101,2004,2006,20,36,55.55555555555556
036752103,1999,2024,44,312,14.102564102564102
136385101,1985,2024,58,480,12.083333333333334
G8675V127,2006,2024,23,228,10.087719298245613
15118V207,2007,2024,18,216,8.333333333333332
G4412G101,1986,2024,53,468,11.324786324786325
55277P104,1985,2024,89,480,18.541666666666668
29089Q105,2004,2024,21,252,8.333333333333332
M6240T109,2011,2024,14,168,8.333333333333332
528872302,1998,2024,27,324,8.333333333333332
36117T100,2016,2024,9,108,8.333333333333332
380804203,1996,2000,5,60,8.333333333333332
878155308,2015,2024,10,120,8.333333333333332
36472T109,2012,2024,13,156,8.333333333333332
85571B105,2009,2024,35,192,18.229166666666664
23283X206,2009,2024,16,192,8.333333333333332
82509L107,2013,2024,12,144,8.333333333333332
45773H409,2001,2024,24,288,8.333333333333332
253868103,2002,2024,57,276,20.652173913043477
529898108,1992,2019,34,336,10.119047619047619
03748R747,1994,2024,114,372,30.64516129032258
358039105,2012,2024,13,156,8.333333333333332
67103X102,2006,2024,134,228,58.77192982456141
032037103,1985,2024,54,480,11.25
92828Q109,1989,2024,137,432,31.712962962962965
15670S402,1994,2016,26,276,9.420289855072465
97717P104,1990,2024,66,420,15.714285714285714
320135106,1985,1990,42,72,58.333333333333336
65333R200,2003,2008,43,72,59.72222222222222
79970Y105,2009,2018,11,120,9.166666666666666
25179M103,1988,2024,54,444,12.162162162162163
56418H100,1990,2024,44,420,10.476190476190476
929740108,1994,2024,36,372,9.67741935483871
124805102,1994,2024,41,372,11.021505376344086
206814105,1985,2002,45,216,20.833333333333336
29355A107,2010,2024,15,180,8.333333333333332
677007205,1985,2005,34,252,13.492063492063492
00901B105,1994,2024,36,372,9.67741935483871
458751302,1990,2024,64,420,15.238095238095239
G0450A105,1995,2024,77,360,21.38888888888889
28238P109,2004,2024,47,252,18.650793650793652
008474108,1985,2024,55,480,11.458333333333332
45817G201,1998,2024,27,324,8.333333333333332
35921N101,1997,2002,15,72,20.833333333333336
74386T105,2000,2024,176,300,58.666666666666664
55303J106,2012,2024,13,156,8.333333333333332
291087203,1990,1992,5,36,13.88888888888889
37246R932,1996,2002,53,84,63.095238095238095
10501E300,2010,2024,15,180,8.333333333333332
746276104,1996,2000,48,60,80.0
760276105,2002,2015,13,168,7.738095238095238
91359E105,1986,2024,122,468,26.06837606837607
637844309,1985,2002,31,216,14.351851851851851
92346J108,2011,2024,18,168,10.714285714285714
225310101,1991,2024,98,408,24.019607843137255
88579Y101,1985,2024,54,480,11.25
29399X006,1985,2024,89,480,18.541666666666668
45073V108,1985,2024,107,480,22.291666666666668
86614G101,2010,2024,17,180,9.444444444444445
521098202,1990,1998,46,108,42.592592592592595
22948Q101,1985,2024,117,480,24.375
07134L107,2006,2024,19,228,8.333333333333332
G0457F107,2009,2024,16,192,8.333333333333332
427746102,1987,2024,50,456,10.964912280701753
533535100,2003,2024,22,264,8.333333333333332
879080109,1985,2024,76,480,15.833333333333332
00208J108,1999,2011,12,156,7.6923076923076925
124830878,1992,2024,100,396,25.252525252525253
885218800,1993,2007,69,180,38.333333333333336
496904202,1994,2024,122,372,32.795698924731184
89365P106,1985,2002,33,216,15.277777777777779
204149108,1987,2024,288,456,63.1578947368421
758075402,1994,2024,99,372,26.61290322580645
85513Q301,2002,2024,23,276,8.333333333333332
724479100,1985,2024,54,480,11.25
637215104,1985,2024,57,480,11.875
205684202,2002,2024,41,276,14.855072463768115
34960Q307,2009,2024,16,192,8.333333333333332
718193105,1990,2002,32,156,20.51282051282051
252131107,2003,2024,22,264,8.333333333333332
46050R102,2011,2024,17,168,10.119047619047619
916896103,2005,2006,2,24,8.333333333333332
007942204,1985,2008,92,288,31.944444444444443
918284100,1985,2024,56,480,11.666666666666666
011311107,1992,2024,40,396,10.1010101010101
012348108,1986,2024,54,468,11.538461538461538
744573106,1985,2024,82,480,17.083333333333332
774374300,1997,2024,30,336,8.928571428571429
034164103,1985,2024,68,480,14.166666666666666
227483104,2000,2024,25,300,8.333333333333332
91851C201,1991,2024,42,408,10.294117647058822
M6372Q113,2013,2024,12,144,8.333333333333332
929042109,1990,2024,120,420,28.57142857142857
139380109,2001,2007,48,84,57.14285714285714
829322502,2023,2024,2,24,8.333333333333332
363576109,1985,2024,58,480,12.083333333333334
