cusip,default_year,start_year,end_year,in_range
29399X006,2005,1985,2024,True
380804203,1999,1996,2000,True
L7257P205,2020,2009,2019,False
34552U104,2020,2010,2019,False
526262100,2008,1992,2007,False
89376N108,2009,2000,2007,False
032345100,2001,1985,1999,False
45812C106,2000,1991,1999,False
552813107,1984,1985,1988,False
283677854,1992,1985,2019,True
367348109,2013,2005,2012,False
00252W104,2005,1995,2004,False
047620109,1997,1985,1997,True
373654102,1998,1988,1997,False
89816T103,2014,1995,2009,False
457661106,1991,1985,2001,True
759464100,2001,1985,1999,False
22161G103,1999,1991,1998,False
90334D109,2002,1996,2000,False
25659P402,2014,2005,2012,False
898178108,1992,1985,2002,True
909870107,1999,1985,1998,False
G3930E101,1986,1985,2006,True
315646109,2004,1992,2004,True
31567R209,2012,2002,2010,False
36729W202,2018,2009,2017,False
427093307,2016,2004,2015,False
372282103,2000,1985,1998,False
694327107,2000,1991,1999,False
023608003,2016,2001,2015,False
216844100,2009,1994,2008,False
78442T108,2002,1998,2001,False
927426106,2009,1999,2007,False
17038P104,2004,1998,2003,False
74837R104,2015,1998,2014,False
429812100,2005,1985,1987,False
45323G109,2000,1986,1998,False
494580103,1999,1988,2017,True
732827100,2007,1985,2006,False
92399S914,2003,1997,2001,False
603669102,1990,1985,1989,False
845606102,2000,1991,2000,True
731745204,2002,1995,2009,True
87971Q104,2001,1993,2000,False
42799Y938,2009,1999,2015,True
45772G105,2007,2000,2006,False
582266706,2005,1995,2004,False
794004200,1998,1989,2002,True
32115D106,2017,2011,2015,False
566244109,2001,1995,1999,False
938862208,2001,2002,2006,False
055655104,1993,1985,1992,False
089698104,2000,1992,1999,False
098904204,1991,1990,1998,True
339130106,2003,1985,2001,False
45881K104,2004,1985,2004,True
899900104,1999,1989,1998,False
222814204,2001,1998,2007,True
320816200,1997,1995,1996,False
444356109,2004,1985,2003,False
48019R306,2019,2010,2018,False
228439105,2003,1993,2003,True
858375108,2020,1991,2000,False
099541203,2001,1987,2001,True
12802T101,2015,2004,2013,False
483007704,2002,1990,2024,True
74957T104,2010,2003,2009,False
60899Z001,2019,1985,2020,True
70338T102,2018,2012,2016,False
758609002,1997,1986,1994,False
42099W939,2012,2006,2011,False
86677E100,1999,1992,2011,True
37936U104,2001,1994,2000,False
22305A103,2020,2014,2019,False
652463100,2002,1995,2001,False
656568508,2009,1985,2011,True
872443601,2012,1991,2002,False
485808109,2002,1995,2002,True
58985C985,2009,2002,2003,False
903293405,2001,1985,2018,True
024928103,2001,1993,2000,False
640933107,2007,1997,2005,False
760276105,2016,2002,2015,False
93964W405,2021,2012,2020,False
G30401106,2022,1999,2023,True
19075F304,2017,2007,2017,True
20557T101,1992,1985,1996,True
71654J108,1993,1990,1992,False
74937W102,2016,2008,2014,False
001642107,1998,1991,1999,True
498326206,2000,1997,2006,True
05336P108,2004,1990,2002,False
