,cusip,missing_at_count,ever_defaulted
163,628778102,2,False
164,62886E108,3,False
165,637870106,1,False
166,64111Q104,1,False
167,64122D506,4,True
168,64399A938,4,True
169,650194103,1,True
170,652463100,3,True
171,65542W206,1,True
172,666762109,3,False
173,67077M108,3,False
174,690132931,4,True
175,69334T009,3,True
176,69366J200,5,False
177,694327107,4,True
178,700658107,3,False
179,70336T500,2,True
180,709789101,8,False
181,710577107,8,False
182,71377A103,1,False
183,71654J108,3,True
184,718193105,1,True
185,72346N101,2,True
186,72702Q102,4,True
187,74164M108,19,False
188,74267C106,2,False
189,74342L105,2,True
190,74345R935,4,True
191,74437C101,3,True
192,746276104,4,True
193,74937W102,3,True
194,74957T104,3,True
195,74993W939,1,True
196,750495921,1,True
197,75689M101,1,False
198,75970E107,1,False
199,760281204,1,False
200,760929109,1,True
201,761312107,2,True
202,777385105,3,True
203,783859101,8,False
204,78532P107,3,True
205,78999Z937,1,True
206,80880X104,5,False
207,811707801,8,False
208,81201R107,4,True
209,814785309,6,False
210,816300107,1,False
211,823213103,1,True
212,828730200,8,False
213,83099X931,6,True
214,83169A100,1,True
215,843576109,2,True
216,84741Y103,3,True
217,854923109,1,True
218,85569E103,3,True
219,861025104,4,False
220,868447103,2,True
221,87283P109,3,False
222,890110109,8,False
223,89099A003,4,True
224,891539108,2,True
225,891697104,4,True
226,892231101,2,False
227,89376N108,3,True
228,896095106,1,False
229,896215209,4,False
230,896925203,1,True
231,898172937,1,True
232,898349204,3,False
233,90334D109,2,True
234,909870107,1,True
235,909907107,3,False
236,909911109,1,False
237,910340108,8,False
238,911549103,5,False
239,912909108,1,False
240,91347P105,2,False
241,917311805,3,True
242,91879Q109,4,False
243,919794107,1,False
244,92336G106,2,True
245,92399S914,3,True
246,925529208,4,True
247,92552R406,1,False
248,92828Q109,7,False
249,929328102,7,False
250,92999Z938,2,True
251,940610108,8,False
252,94769A101,3,True
253,947890109,7,False
254,94845V103,1,True
255,950810101,3,False
256,96445P105,1,True
257,969136100,1,False
258,97652H109,1,True
259,97717P104,2,False
260,981579105,3,True
261,981907108,2,True
262,98413B100,1,True
263,989817101,1,False
264,B5628B104,4,True
265,G0704V202,1,False
266,G2519Y108,1,False
267,G3265R107,2,False
268,G3921A175,1,True
269,G5005R107,5,False
270,G6S01W108,2,True
271,G7702U102,1,True
272,G9032C109,4,True
273,M39927120,2,False
274,P16994132,1,False
